INFO 2024-11-15 23:09:04,630 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-15 23:09:04,631 autoreload Waiting for apps ready_event.
DEBUG 2024-11-15 23:09:04,677 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-15 23:09:04,708 autoreload Watching dir D:\newP\mail\mail_archive\documents\templates with glob **/*.
DEBUG 2024-11-15 23:09:04,708 autoreload Watching dir D:\newP\mail\mail_archive\locale with glob **/*.mo.
DEBUG 2024-11-15 23:09:04,708 autoreload Watching dir D:\newP\mail\mail_archive\documents\locale with glob **/*.mo.
DEBUG 2024-11-15 23:09:04,755 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-15 23:09:04,758 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-15 23:09:04,866 autoreload File D:\newP\mail\mailenv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1729539089.7722974
DEBUG 2024-11-15 23:09:04,866 autoreload File C:\Users\debes\AppData\Local\Programs\Python\Python313\Lib\importlib\__init__.py first seen with mtime 1728289608.0
DEBUG 2024-11-15 23:09:04,866 autoreload File D:\newP\mail\mailenv\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1729539085.7856185
DEBUG 2024-11-15 23:09:04,866 autoreload File C:\Users\debes\AppData\Local\Programs\Python\Python313\Lib\asyncio\tasks.py first seen with mtime 1728289608.0
DEBUG 2024-11-15 23:09:04,867 autoreload File D:\newP\mail\mailenv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1729539089.5728316
DEBUG 2024-11-15 23:09:04,867 autoreload File C:\Users\debes\AppData\Local\Programs\Python\Python313\Lib\base64.py first seen with mtime 1728289608.0
DEBUG 2024-11-15 23:09:04,867 autoreload File D:\newP\mail\mailenv\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1729539089.1150568
